breed,query
Chigi,chigi dog
Chihuahua,chihuahua dog
Chilier,chilier dog
Chinese Crested,chinese crested dog
Chinese Shar-Pei,chinese shar-pei dog
Chinook,chinook dog
Chion,chion dog
Chipin,chipin dog
Chiweenie,chiweenie dog
Chorkie,chorkie dog
Chow Chow,chow chow dog
Chow Shepherd,chow shepherd dog
Chug,chug dog
Chusky,chusky dog
Cirneco dell’Etna,cirneco dell’etna dog
Clumber Spaniel,clumber spaniel dog
Cockalier,cockalier dog
Cockapoo,cockapoo dog
Cocker Spaniel,cocker spaniel dog
Collie,collie dog
Corgi Inu,corgi inu dog
Corgidor,corgidor dog
Corman Shepherd,corman shepherd dog
Coton de Tulear,coton de tulear dog
Croatian Sheepdog,croatian sheepdog
Curly-Coated Retriever,curly-coated retriever dog
Czechoslovakian Vlcak,czechoslovakian vlcak dog
Dachsador,dachsador dog
Dachshund,dachshund dog
Dalmatian,dalmatian dog
Dandie Dinmont Terrier,dandie dinmont terrier
Daniff,daniff dog
Danish-Swedish Farmdog,danish-swedish farmdog
Deutscher Wachtelhund,deutscher wachtelhund dog
Doberdor,doberdor dog
Doberman Pinscher,doberman pinscher dog
Docker,docker dog
Dogo Argentino,dogo argentino
Dogue de Bordeaux,dogue de bordeaux
Dorgi,dorgi dog
Dorkie,dorkie dog
Doxiepoo,doxiepoo dog
Doxle,doxle dog
Drentsche Patrijshond,drentsche patrijshond dog
Drever,drever dog
Dutch Shepherd,dutch shepherd dog
English Cocker Spaniel,english cocker spaniel dog
English Foxhound,english foxhound
English Setter,english setter dog
English Springer Spaniel,english springer spaniel dog
English Toy Spaniel,english toy spaniel dog
Entlebucher Mountain Dog,entlebucher mountain dog
Estrela Mountain Dog,estrela mountain dog
Eurasier,eurasier dog
Field Spaniel,field spaniel dog
Fila Brasileiro,fila brasileiro dog
Finnish Lapphund,finnish lapphund dog
Finnish Spitz,finnish spitz dog
Flat-Coated Retriever,flat-coated retriever dog
Fox Terrier,fox terrier
French Bulldog,french bulldog
French Bullhuahua,french bullhuahua dog
French Spaniel,french spaniel dog
Frenchton,frenchton dog
Frengle,frengle dog
German Longhaired Pointer,german longhaired pointer dog
German Pinscher,german pinscher dog
German Shepherd Dog,german shepherd dog
German Shepherd Pit Bull,german shepherd pit bull dog
German Shepherd Rottweiler Mix,german shepherd rottweiler mix dog
German Sheprador,german sheprador dog
